trial_number,condition,subcondition,item_number,probe,corprobe_position,button_pressed,accuracy,rt
NA,fixation,NA,NA,NA,NA,NA,NA,NA
1,Sent,1,22,1,5,1,1,1.034085989
2,Sent,1,86,1,9,1,1,0.819828033447
3,Sent,1,55,2,NA,2,1,1.10102200508
4,Nonw,1,89,2,NA,2,1,1.15070009232
5,Nonw,1,19,1,1,2,0,0.970951080322
6,Nonw,1,2,2,NA,2,1,0.936517000198
7,Nonw,1,45,2,NA,2,1,0.969968080521
8,Nonw,1,59,1,9,1,1,0.869772911072
9,Nonw,1,41,1,11,1,1,1.15114784241
10,Sent,1,34,1,3,2,0,0.802752971649
11,Sent,1,9,1,11,1,1,0.652256965637
12,Sent,1,120,2,NA,2,1,0.702459096909
NA,fixation,NA,NA,NA,NA,NA,NA,NA
13,Nonw,1,27,2,NA,2,1,0.80190205574
14,Nonw,1,31,2,NA,2,1,0.919597148895
15,Nonw,1,69,1,8,1,1,1.00353288651
16,Sent,1,27,1,10,1,1,0.903128147125
17,Sent,1,72,2,NA,2,1,0.936568021774
18,Sent,1,67,2,NA,2,1,1.01757788658
19,Nonw,1,44,1,5,2,0,1.23445606232
20,Nonw,1,21,2,NA,2,1,1.03416514397
21,Nonw,1,36,2,NA,2,1,0.869629144669
22,Sent,1,58,2,NA,2,1,0.852839946747
23,Sent,1,64,2,NA,2,1,0.769345998764
24,Sent,1,96,1,12,1,1,0.986624002457
NA,fixation,NA,NA,NA,NA,NA,NA,NA
25,Sent,1,104,2,NA,2,1,0.60233092308
26,Sent,1,62,1,5,1,1,0.836586952209
27,Sent,1,101,2,NA,2,1,0.936724901199
28,Nonw,1,29,1,4,1,1,1.1344370842
29,Nonw,1,65,2,NA,1,0,1.03415489197
30,Nonw,1,96,2,NA,2,1,0.869764089584
31,Sent,1,6,2,NA,2,1,0.785906076431
32,Sent,1,59,2,NA,2,1,0.702707052231
33,Sent,1,15,1,8,1,1,0.869502067566
34,Nonw,1,54,2,NA,2,1,0.919872999191
35,Nonw,1,13,1,4,1,1,0.986630916595
36,Nonw,1,105,2,NA,1,0,1.26796293259
NA,fixation,NA,NA,NA,NA,NA,NA,NA
37,Nonw,1,6,2,NA,2,1,0.93678188324
38,Nonw,1,117,2,NA,2,1,1.25132608414
39,Nonw,1,12,1,10,1,1,0.752574920654
40,Sent,1,108,2,NA,2,1,0.836282014847
41,Sent,1,19,1,1,1,1,0.969894886017
42,Sent,1,50,1,10,1,1,0.752656936646
43,Sent,1,24,2,NA,2,1,0.886471033096
44,Sent,1,35,2,NA,2,1,0.936625957489
45,Sent,1,36,1,1,1,1,1.0675868988
46,Nonw,1,67,2,NA,2,1,1.2012720108
47,Nonw,1,68,1,7,1,1,0.886410951614
48,Nonw,1,15,2,NA,2,1,0.971040964127
NA,fixation,NA,NA,NA,NA,NA,NA,NA
